Name,Category,Latitude ,Longitude
Dance and Arts Center,Arts Centre,9.9446775,76.3407989
Greenix Ventures,Arts Centre,9.9685121,76.2499204
St Mary's Convent Auditorium,Arts Centre,9.9648509,76.2447224
Art Gallery,Artwork,9.960486,76.2589441
Chavara Statue,Artwork,9.9936757,76.3572787
Galley 'c' seven,Artwork,9.9572573,76.2595971
Jesus Statue,Artwork,10.1675654,76.1834561
OED gallery,Artwork,9.9622072,76.2579781
The Bombay Art Society,Artwork,9.9556714,76.260037
Anwin's Home,Attraction,10.030699,76.3480767
Bastion Bungalow,Attraction,9.9642848,76.239176
Bolghatty Palace & Island Resort,Attraction,9.9842589,76.2668063
Dutch Palace,Attraction,9.9584241,76.2593905
Fort Kochi Jail,Attraction,9.9675835,76.2437834
Idili Pura.,Attraction,10.0121908,76.3578488
Kashi Art Gallery,Attraction,9.9638232,76.239102
Kochi port,Attraction,9.9667202,76.2662959
Kochinbackwaters Boat Club,Attraction,9.9365873,76.3120724
Mattancherry Palace,Attraction,9.9583382,76.2594375
Multimedia Laser Show,Attraction,9.9681302,76.2806899
Spot on the rocks,Attraction,9.9173243,76.2850335
DC Books,Bookshop,9.9853762,76.2776029
Deshabhimani Book House,Bookshop,9.9986908,76.2965604
H & C Stores,Bookshop,9.9686597,76.2870825
Idiom Booksellers,Bookshop,9.9658667,76.2414933
Kerala Book House,Bookshop,9.9664449,76.2884207
lotus books,Bookshop,10.1486283,76.2278422
Pai & Co.,Bookshop,9.9772909,76.2780857
Sree Lakshmi bazaar,Bookshop,9.9579327,76.2557064
AKG Library,Library,10.0312977,76.3109697
Eloor Lending Library,Library,9.9771073,76.2799199
George master memmorial Reading room & Public Library,Library,9.9526798,76.3202025
Library,Library,10.1095882,76.3557022
Library and reading room,Library,10.1191861,76.2559047
paravur district court law Library,Library,10.1484663,76.2311265
Sree Saraswath Association Public Library,Library,9.9561295,76.252256
University Library,Library,10.0445924,76.3251485
Y. N. P. Trust Public Library,Library,9.9543408,76.2514948
Dredger Anchor,Memorial,9.9678144,76.2412213
K Karunakaran Statue,Memorial,10.1485772,76.2246841
parakkadavu block office,Memorial,10.1707791,76.3301791
Steam Boilers,Memorial,9.9673835,76.2405301
Dutch cemetery,Monument,9.964233,76.2383008
hindu tample,Monument,9.95622,76.2511122
Kovil Homestay,Monument,9.9574961,76.2446409
CMC History and art Museum,Museum,10.1012481,76.2623646
Indo-Portuguese Museum,Museum,9.9623143,76.2402724
Kerala Folklore Museum,Museum,9.9331062,76.2991072
Museum Of Kerala History,Museum,10.0379909,76.3148652
Police Museum,Museum,9.95596,76.26
Sahodaran Ayappan Museum,Museum,10.1548055,76.1941726
SNC Maritime Museum,Museum,9.9583426,76.2390343
Thripunitra Hill Palace,Museum,9.9527348,76.3639419
Fort Immanuel,Ruins,9.9663159,76.2390124
