Name,Category,latitude ,longitude
Amity Global Business School,college,9.9789762,76.2870141
Amrita School Of Dentistry,college,10.034043,76.2916963
Bharata Mata College of Commerce and Arts,college,10.0828089,76.3752369
Bharata Mata School of Legal Studies,college,10.0834549,76.374875
BHavan's Royal Institue of Management,college,9.9525512,76.3706502
Government Ayurveda College,college,9.9248816,76.3584488
Government ITI,college,10.0545628,76.3276553
Govt. Institute of Fashion Design,college,10.0504583,76.216592
INS Venduruthy Parade Ground,college,9.9535473,76.2801157
Lakshmi College,college,10.150807,76.226283
Mar Gregorios Abdul Jaleel Arts and Science College,college,10.1527888,76.2406029
Morning Star Home science College,college,10.1757448,76.376872
National Institute of Fisheries Post Harvest Technology and Training,college,9.9619127,76.2843942
National Institute of Technical Teachers Training and Research Extension Centre,college,10.0565037,76.3228851
Naval Institute Of Aeronautical Technology,college,9.956221,76.2772387
Polytechnic College Kalamaserry,college,10.0557716,76.3247132
St Pauls College,college,10.0522167,76.3288162
St. Albert's College,college,9.9855824,76.2786451
St. Annes College,college,10.1907724,76.3867772
St. Joseph College,college,10.0567678,76.3201475
St. Thomas College,college,9.9841683,76.2773548
Swami Saswathikananda College,college,9.8519272,76.3811005
"Swami Saswathikananda Law College, Poothotta",college,9.8514943,76.38464
Amrita School Of Nursing,kindergarten,10.0320885,76.2903665
amrita Technologies,kindergarten,10.0337894,76.2919651
Anganavaadi crush no 8,kindergarten,10.0166459,76.3425215
Sanskriti College,kindergarten,9.9527988,76.3448372
AKG Library,library,10.0312977,76.3109697
Eloor Lending Library,library,9.9771073,76.2799199
George master memmorial Reading room & Public library,library,9.9526798,76.3202025
library,library,10.1095882,76.3557022
Library and reading room,library,10.1191861,76.2559047
paravur district court law library,library,10.1484663,76.2311265
Sree Saraswath Association Public Library,library,9.9561295,76.252256
University Library,library,10.0445924,76.3251485
Y. N. P. Trust Public Library,library,9.9543408,76.2514948
Bharath Matha College,school,10.0302034,76.3355281
Bhavana Nursery School and Daycare,school,9.99658,76.2833003
Bhavans Adarsha Vidyalaya,school,9.9986196,76.3457364
"C.K.C.G.H.S, Ponnurunni",school,9.9748372,76.3153496
"C.K.C.L.P.S., Ponnurunni",school,9.9746816,76.3151412
Chavara Special School,school,10.1003617,76.2634129
Cochin College,school,9.9491286,76.2524445
Depaul,school,10.1775471,76.3772574
Edavanakad UP School,school,10.0841758,76.209444
Euro Tech Maritime Academy,school,10.0370761,76.385835
Fatima Girls High School,school,9.9652354,76.2441323
Georgian Academy School,school,9.9485725,76.3674848
German Metropolitan International School,school,10.0245016,76.3419183
Government Boys Higher Secondary School,school,9.9430975,76.3492466
government gvhss .kadamakudi,school,10.0656141,76.245301
Government lower primary school,school,10.1036654,76.2942656
"Govt HSS, Kongorpilly",school,10.10542,76.2764427
Govt LP School,school,10.1454924,76.2156921
Govt. Law College,school,9.9745034,76.2792379
Greets Public School,school,9.9992237,76.2928714
Holy Ghost Convent Girls High School,school,10.1232994,76.344254
Jerly Sir Tution Center,school,9.9494559,76.2544629
KMUP School Eroor,school,9.9777035,76.3347034
Kochi Refinery School Ground,school,9.9790243,76.3816888
KPM High School,school,9.8517374,76.3835993
"KPMHSS - Kshetra Praveshana Memorial Higher Seconday School, Poothotta",school,9.8521573,76.3836582
Little Angels Play School,school,9.9897767,76.2797013
Little Flower UP School,school,10.0053293,76.2892305
Mahatma Gandhi Public School,school,9.9352177,76.3816527
MES Eastern school,school,10.0706795,76.3172952
Next Education India,school,10.0045946,76.2879007
Pius High School For Girls,school,10.0204298,76.3080792
Poikatussery School,school,10.1680832,76.3400876
Raghava Panicker Memorial High School,school,9.8972805,76.3090017
Rajagiri College of Social Sciences,school,10.0527473,76.3150351
Rajagiri Convent,school,10.0512816,76.3145831
Rajagiri High School,school,10.051955,76.3157593
S.N.D.P.H.S.S Udayamperoor,school,9.8944365,76.3705899
Sanskriti High School,school,9.9522916,76.3447674
Saraswathy Vidyaniketan Public School,school,10.0065545,76.2867988
Seamanship School,school,9.9497862,76.2824862
Signal School,school,9.9494426,76.2806127
Sndp LP School,school,10.0947568,76.2064216
SpV Lp,school,9.9728096,76.3174442
SreeNarayana Vidyapeedam Public School,school,9.9422633,76.3392529
Sri Cochin Bala Mandir,school,9.9572924,76.2556845
Sri Sri Ravishankar Vidya Mandir,school,9.9681649,76.2849741
SRV LP School,school,9.8980626,76.3095623
St George Higher Secondary School,school,10.0841023,76.2719088
St Joseph High School,school,9.9998133,76.2796632
St Mary's LP School,school,9.9653631,76.2439038
St Thomas Girls High School,school,9.9469728,76.2931873
St.  George Schools,school,9.9537429,76.3285437
St. Albert's High School,school,9.9848269,76.2784735
St. Antony's School,school,9.9868998,76.2839729
St. Antony's School,school,9.9861259,76.2840266
St. Mary's Girls High School,school,9.9825287,76.2781087
"St. Rita's High School, Ponnurunni",school,9.9780283,76.3142488
St. Teresa's Girls High Shool,school,9.9764371,76.2792674
St.Mary's HSS Thalacode,school,9.9209506,76.4087345
Teresa Spinelli Public School,school,10.0041746,76.2875654
Tom and Jerry Kinder Garden,school,9.9979816,76.2827724
Vidyadiraja School,school,10.102372,76.353625
Vidyaniketan College,school,9.9872043,76.281448
Vocational Higher Secondary School,school,9.9560936,76.3587892
Vypin Convent,school,9.9727236,76.2431804
